driver_id,round,position,grid_position,points,status,laps_completed,rarity
bearman,8,12.0,20.0,0.0,Lapped,76.0,Common
colapinto,8,13.0,18.0,0.0,Lapped,76.0,Common
bortoleto,8,14.0,16.0,0.0,Lapped,76.0,Common
stroll,8,15.0,19.0,0.0,Lapped,76.0,Common
hulkenberg,8,16.0,13.0,0.0,Lapped,76.0,Common
tsunoda,8,17.0,12.0,0.0,Lapped,76.0,Common
antonelli,8,18.0,15.0,0.0,Lapped,75.0,Common
alonso,8,19.0,6.0,0.0,Retired,36.0,Common
gasly,8,20.0,17.0,0.0,Retired,7.0,Common
piastri,9,1.0,1.0,25.0,Finished,66.0,Legendary
norris,9,2.0,2.0,18.0,Finished,66.0,Epic
leclerc,9,3.0,7.0,15.0,Finished,66.0,Epic
russell,9,4.0,4.0,12.0,Finished,66.0,Rare
hulkenberg,9,5.0,15.0,10.0,Finished,66.0,Rare
hamilton,9,6.0,5.0,8.0,Finished,66.0,Rare
hadjar,9,7.0,9.0,6.0,Finished,66.0,Rare
gasly,9,8.0,8.0,4.0,Finished,66.0,Rare
alonso,9,9.0,10.0,2.0,Finished,66.0,Rare
max_verstappen,9,10.0,3.0,1.0,Finished,66.0,Rare
lawson,9,11.0,13.0,0.0,Finished,66.0,Common
bortoleto,9,12.0,12.0,0.0,Finished,66.0,Common
tsunoda,9,13.0,19.0,0.0,Finished,66.0,Common
sainz,9,14.0,17.0,0.0,Finished,66.0,Common
colapinto,9,15.0,18.0,0.0,Finished,66.0,Common
ocon,9,16.0,16.0,0.0,Finished,66.0,Common
bearman,9,17.0,14.0,0.0,Finished,66.0,Common
antonelli,9,18.0,6.0,0.0,Retired,53.0,Common
albon,9,19.0,11.0,0.0,Retired,27.0,Common
russell,10,1.0,1.0,25.0,Finished,70.0,Legendary
max_verstappen,10,2.0,2.0,18.0,Finished,70.0,Epic
antonelli,10,3.0,4.0,15.0,Finished,70.0,Epic
piastri,10,4.0,3.0,12.0,Finished,70.0,Rare
leclerc,10,5.0,8.0,10.0,Finished,70.0,Rare
hamilton,10,6.0,5.0,8.0,Finished,70.0,Rare
alonso,10,7.0,6.0,6.0,Finished,70.0,Rare
hulkenberg,10,8.0,11.0,4.0,Finished,70.0,Rare
ocon,10,9.0,14.0,2.0,Lapped,69.0,Rare
sainz,10,10.0,16.0,1.0,Lapped,69.0,Rare
bearman,10,11.0,13.0,0.0,Lapped,69.0,Common
tsunoda,10,12.0,18.0,0.0,Lapped,69.0,Common
colapinto,10,13.0,10.0,0.0,Lapped,69.0,Common
bortoleto,10,14.0,15.0,0.0,Lapped,69.0,Common
gasly,10,15.0,20.0,0.0,Lapped,69.0,Common
hadjar,10,16.0,12.0,0.0,Lapped,69.0,Common
stroll,10,17.0,17.0,0.0,Lapped,69.0,Common
norris,10,18.0,7.0,0.0,Retired,66.0,Common
lawson,10,19.0,19.0,0.0,Retired,53.0,Common
albon,10,20.0,9.0,0.0,Retired,46.0,Common
norris,11,1.0,1.0,25.0,Finished,70.0,Legendary
piastri,11,2.0,3.0,18.0,Finished,70.0,Epic
leclerc,11,3.0,2.0,15.0,Finished,70.0,Epic
hamilton,11,4.0,4.0,12.0,Finished,70.0,Rare
russell,11,5.0,5.0,10.0,Finished,70.0,Rare
lawson,11,6.0,6.0,8.0,Finished,70.0,Rare
alonso,11,7.0,11.0,6.0,Lapped,69.0,Rare
bortoleto,11,8.0,8.0,4.0,Lapped,69.0,Rare
hulkenberg,11,9.0,20.0,2.0,Lapped,69.0,Rare
ocon,11,10.0,17.0,1.0,Lapped,69.0,Rare
bearman,11,11.0,15.0,0.0,Lapped,69.0,Common
hadjar,11,12.0,13.0,0.0,Lapped,69.0,Common
gasly,11,13.0,10.0,0.0,Lapped,69.0,Common
stroll,11,14.0,16.0,0.0,Lapped,69.0,Common
colapinto,11,15.0,14.0,0.0,Lapped,69.0,Common
tsunoda,11,16.0,18.0,0.0,Lapped,68.0,Common
albon,11,17.0,12.0,0.0,Retired,15.0,Common
max_verstappen,11,18.0,7.0,0.0,Retired,0.0,Common
antonelli,11,19.0,9.0,0.0,Retired,0.0,Common
sainz,11,20.0,19.0,0.0,Did not start,0.0,Common
norris,12,1.0,3.0,25.0,Finished,52.0,Legendary
piastri,12,2.0,2.0,18.0,Finished,52.0,Epic
hulkenberg,12,3.0,19.0,15.0,Finished,52.0,Epic
hamilton,12,4.0,5.0,12.0,Finished,52.0,Rare
max_verstappen,12,5.0,1.0,10.0,Finished,52.0,Rare
gasly,12,6.0,8.0,8.0,Finished,52.0,Rare
stroll,12,7.0,17.0,6.0,Finished,52.0,Rare
albon,12,8.0,13.0,4.0,Finished,52.0,Rare
alonso,12,9.0,7.0,2.0,Finished,52.0,Rare
russell,12,10.0,4.0,1.0,Finished,52.0,Rare
bearman,12,11.0,18.0,0.0,Finished,52.0,Common
sainz,12,12.0,9.0,0.0,Finished,52.0,Common
ocon,12,13.0,14.0,0.0,Finished,52.0,Common
leclerc,12,14.0,6.0,0.0,Finished,52.0,Common
